year_month,fiscal_year,total,arresting_agency_cbp,arresting_agency_ice,table_date,file_date
2018_10,2019,40551,28659,11892,2019-10-04,2019-10-06
2018_11,2019,44313,33089,11224,2019-10-04,2019-10-06
2018_12,2019,44418,33600,10818,2019-10-04,2019-10-06
2019_01,2019,41027,29014,12013,2019-10-04,2019-10-06
2019_02,2019,47103,35564,11539,2019-10-04,2019-10-06
2019_03,2019,55149,43427,11722,2019-10-04,2019-10-06
2019_04,2019,54961,43434,11527,2019-10-04,2019-10-06
2019_05,2019,56826,44928,11898,2019-10-04,2019-10-06
2019_06,2019,40367,29717,10650,2019-10-04,2019-10-06
2019_07,2019,33769,22116,11653,2019-10-04,2019-10-06
2019_08,2019,27803,16383,11420,2019-10-04,2019-10-06
2019_09,2019,24567,13839,10728,2019-10-04,2019-10-06
2019_10,2020,24728,13303,11425,2020-10-02,2020-10-01
2019_11,2020,22369,12643,9726,2020-10-02,2020-10-01
2019_12,2020,23907,14007,9900,2020-10-02,2020-10-01
2020_01,2020,22780,10868,11912,2020-10-02,2020-10-01
2020_02,2020,22687,11197,11490,2020-10-02,2020-10-01
2020_03,2020,19386,9211,10175,2020-10-02,2020-10-01
2020_04,2020,8517,2904,5613,2020-10-02,2020-10-01
2020_05,2020,7277,1883,5394,2020-10-02,2020-10-01
2020_06,2020,6688,1585,5103,2020-10-02,2020-10-01
2020_07,2020,7540,1685,5855,2020-10-02,2020-10-01
2020_08,2020,8274,1740,6534,2020-10-02,2020-10-01
2020_09,2020,8716,2069,6647,2020-10-02,2020-10-01
2020_10,2021,9195,2391,6804,2021-09-25,2021-10-02
2020_11,2021,8062,2084,5978,2021-09-25,2021-10-02
2020_12,2021,8621,2553,6068,2021-09-25,2021-10-02
2021_01,2021,8139,3022,5117,2021-09-25,2021-10-02
2021_02,2021,6905,4924,1981,2021-09-25,2021-10-02
2021_03,2021,12420,10076,2344,2021-09-25,2021-10-02
2021_04,2021,17632,14787,2845,2021-09-25,2021-10-02
2021_05,2021,22620,19785,2835,2021-09-25,2021-10-02
2021_06,2021,26530,23098,3432,2021-09-25,2021-10-02
2021_07,2021,26060,22738,3322,2021-09-25,2021-10-02
2021_08,2021,33044,29383,3661,2021-09-25,2021-10-02
2021_09,2021,28344,24063,4281,2021-09-25,2021-10-02
2021_10,2022,28669,24341,4328,2022-09-24,2022-09-30
2021_11,2022,30326,26119,4207,2022-09-24,2022-09-30
2021_12,2022,30422,26747,3675,2022-09-24,2022-09-30
2022_01,2022,25598,22123,3475,2022-09-24,2022-09-30
2022_02,2022,25631,21906,3725,2022-09-24,2022-09-30
2022_03,2022,31040,25813,5227,2022-09-24,2022-09-30
2022_04,2022,25405,20308,5097,2022-09-24,2022-09-30
2022_05,2022,26134,20944,5190,2022-09-24,2022-09-30
2022_06,2022,21483,16441,5042,2022-09-24,2022-09-30
2022_07,2022,21680,16219,5461,2022-09-24,2022-09-30
2022_08,2022,24781,18195,6586,2022-09-24,2022-09-30
2022_09,2022,15810,10956,4854,2022-09-24,2022-09-30
2022_10,2023,22412,15859,6553,2023-10-03,2023-11-08
2022_11,2023,19068,12595,6473,2023-10-03,2023-11-08
2022_12,2023,17610,11627,5983,2023-10-03,2023-11-08
2023_01,2023,21997,15496,6501,2023-10-03,2023-11-08
2023_02,2023,19731,12734,6997,2023-10-03,2023-11-08
2023_03,2023,22200,14169,8031,2023-10-03,2023-11-08
2023_04,2023,18937,11860,7077,2023-10-03,2023-11-08
2023_05,2023,30511,22657,7854,2023-10-03,2023-11-08
2023_06,2023,24041,16290,7751,2023-10-03,2023-11-08
2023_07,2023,22801,15109,7692,2023-10-03,2023-11-08
2023_08,2023,29083,21941,7142,2023-10-03,2023-11-08
2023_09,2023,24829,18084,6745,2023-10-03,2023-11-08
2023_10,2024,24118,17278,6840,2024-10-03,2024-10-01
2023_11,2024,17692,10922,6770,2024-10-03,2024-10-01
2023_12,2024,21085,13349,7736,2024-10-03,2024-10-01
2024_01,2024,20536,13998,6538,2024-10-03,2024-10-01
2024_02,2024,24431,17044,7387,2024-10-03,2024-10-01
2024_03,2024,22105,14557,7548,2024-10-03,2024-10-01
2024_04,2024,23974,15533,8441,2024-10-03,2024-10-01
2024_05,2024,28582,20131,8451,2024-10-03,2024-10-01
2024_06,2024,25034,17677,7357,2024-10-03,2024-10-01
2024_07,2024,23644,15635,8009,2024-10-03,2024-10-01
2024_08,2024,24706,16516,8190,2024-10-03,2024-10-01
2024_09,2024,22006,14658,7348,2024-10-03,2024-10-01
2024_10,2025,23613,15004,8609,2025-09-20,2025-10-30
2024_11,2025,21123,13543,7580,2025-09-20,2025-10-30
2024_12,2025,22122,14238,7884,2025-09-20,2025-10-30
2025_01,2025,21990,10237,11753,2025-09-20,2025-10-30
2025_02,2025,21630,4252,17378,2025-09-20,2025-10-30
2025_03,2025,22921,3798,19123,2025-09-20,2025-10-30
2025_04,2025,22817,4602,18215,2025-09-20,2025-10-30
2025_05,2025,28880,5238,23642,2025-09-20,2025-10-30
2025_06,2025,36704,5114,31590,2025-09-20,2025-10-30
2025_07,2025,31262,3805,27457,2025-09-20,2025-10-30
2025_08,2025,32364,4056,28308,2025-09-20,2025-10-30
2025_09,2025,24755,3462,21293,2025-09-20,2025-10-30
2025_10,2026,41618,4991,36627,2026-02-07,2026-02-13
2025_11,2026,38412,3925,34487,2026-02-07,2026-02-13
2025_12,2026,42130,4290,37840,2026-02-07,2026-02-13
2026_01,2026,39694,3595,36099,2026-02-07,2026-02-13
2026_02,2026,7940,803,7137,2026-02-07,2026-02-13
